Transaction_ID,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Segment,Customer_Type,Division,District,Transaction_Date,Year,Month,Month_Name,Quarter,Week_Number,Day_of_Week,Season,Business_Category,Business_Sub_Category,Business_Type,Employee_Count,Annual_Revenue_BDT,Product_Name,Quantity,Unit_Price_BDT,Gross_Amount_BDT,Discount_Percent,Discount_Amount_BDT,Net_Amount_BDT,Profit_Margin_Percent,Profit_Amount_BDT,Payment_Method,Order_Channel,Delivery_Days,Delivery_Status,Is_Returned,Return_Reason,Purchase_Frequency_Monthly,Days_Since_Last_Purchase,Customer_Lifetime_Value_BDT,Marketing_Channel,Campaign_Type,Stock_Level,Customer_Satisfaction_Score
TXN-BD-000001,CUST-BD-04253,Lamiya Khan,37,Female,High-Value,Regular,Sylhet,Sunamganj,2024-07-14,2024,7,July,Q3,28,Sunday,Rainy Season,Telecom,Mobile Operator,SME,21,63081351.6,Voice Bundle,1,4499.41,4499.41,19.64,883.68,3615.73,25.34,916.23,Nexus Card,In-Store,0,In-Store Pickup,No,,24,271,183943.13,Word of Mouth,,High,3.4
TXN-BD-000002,CUST-BD-04519,Anwar Rahman,39,Male,Low-Engagement,New,Mymensingh,Jamalpur,2022-03-09,2022,3,March,Q1,10,Wednesday,Pohela Boishakh Period,Electronics,Electronics Accessories,Startup,13,9394981.22,Smart TV,1,3986.82,3986.82,2.84,113.23,3873.59,9.23,357.53,bKash,In-Store,0,In-Store Pickup,No,,13,170,16235.94,Social Media,Loyalty Reward,High,3.4
TXN-BD-000003,CUST-BD-01450,Mithila Sarkar,35,Female,Moderate-Spender,Regular,Khulna,Khulna,2021-06-12,2021,6,June,Q2,23,Saturday,Rainy Season,E-Commerce,Online Marketplace,Social Enterprise,31,44343019.6,Fashion Items,1,37812.79,37812.79,10.58,4000.59,33812.2,17.47,5906.99,Cash,Online Website,9,On-Time,No,,12,37,47992.39,SMS Marketing,Seasonal Discount,High,4.8
TXN-BD-000004,CUST-BD-03173,Kamrul Nath,19,Male,Moderate-Spender,Regular,Dhaka,Munshiganj,2023-10-16,2023,10,October,Q4,42,Monday,Regular Season,Electronics,Electronics Accessories,SME,48,130090197.17,Refrigerator,1,152791.82,152791.82,20.83,31826.54,120965.28,17.5,21168.92,Cash,In-Store,0,In-Store Pickup,No,,11,235,56990.43,Referral,Ramadan Special,Medium,2.7
TXN-BD-000005,CUST-BD-02397,Mithila Chowdhury,23,Female,High-Value,New,Barisal,Barisal,2023-04-04,2023,4,April,Q2,14,Tuesday,Eid-ul-Fitr Season,Telecom,Device Reseller,SME,24,32734949.11,SIM Card,1,1868.41,1868.41,13.91,259.9,1608.51,32.07,515.85,Visa Card,Mobile App,9,Cancelled,No,,8,117,196986.86,Newspaper,,High,3.8
TXN-BD-000006,CUST-BD-02228,Shahid Roy,27,Male,Moderate-Spender,Regular,Dhaka,Dhaka,2022-01-15,2022,1,January,Q1,2,Saturday,Winter Season,IT Services,Software Company,MNC,3384,11584807806.77,Social Media Management,3,455621.43,1366864.29,17.71,242071.67,1124792.62,39.77,447330.02,bKash,Mobile App,13,Delayed,No,,16,48,48271.47,SMS Marketing,Pohela Boishakh Sale,Medium,4.0
TXN-BD-000007,CUST-BD-04460,Nadia Nath,42,Female,High-Value,New,Rangpur,Dinajpur,2022-06-30,2022,6,June,Q2,26,Thursday,Rainy Season,Transportation,Ride Sharing,SME,6,9411842.33,Ride Fare,3,4419.4,13258.2,11.08,1469.01,11789.19,27.64,3258.53,Visa Card,In-Store,0,In-Store Pickup,No,,4,330,387478.19,Word of Mouth,,Medium,3.6
TXN-BD-000008,CUST-BD-04688,Sabbir Ghosh,23,Male,VIP-Platinum,Regular,Dhaka,Munshiganj,2023-09-04,2023,9,September,Q3,36,Monday,Post-Eid Regular,Education,E-Learning,SME,47,37867839.08,Online Course,5,19114.03,95570.15,16.17,15453.69,80116.46,38.59,30916.94,bKash,In-Store,0,In-Store Pickup,No,,21,65,729396.94,Social Media,Flash Sale,Medium,2.7
TXN-BD-000009,CUST-BD-00470,Sabrina Ahmed,28,Female,Low-Engagement,Churned-Risk,Khulna,Bagerhat,2024-01-08,2024,1,January,Q1,2,Monday,Winter Season,Garments & RMG,Accessories Supplier,SME,32,38174855.06,Kids Wear,1,5084.74,5084.74,1.63,82.88,5001.86,11.81,590.72,Cash,Online Website,6,Delayed,No,,1,230,16357.79,Email,Seasonal Discount,Medium,2.4
TXN-BD-000010,CUST-BD-04712,Popy Banik,42,Female,Moderate-Spender,Loyal,Khulna,Chuadanga,2023-06-11,2023,6,June,Q2,23,Sunday,Rainy Season,Transportation,Logistics,Large Enterprise,4449,8251580098.08,Subscription Plan,1,7374.46,7374.46,10.17,749.98,6624.48,26.91,1782.65,bKash,Facebook/Social Media,12,Cancelled,No,,24,339,56621.84,TV Advertisement,,Out-of-Stock,3.5
TXN-BD-000011,CUST-BD-03689,Mou Sheikh,50,Female,Moderate-Spender,Loyal,Barisal,Patuakhali,2022-09-13,2022,9,September,Q3,37,Tuesday,Post-Eid Regular,Transportation,Freight,SME,35,71421751.14,Delivery Charge,1,2594.12,2594.12,12.77,331.27,2262.85,28.5,644.91,Cash,Online Website,11,On-Time,No,,20,19,36850.45,SMS Marketing,Referral Bonus,High,4.4
TXN-BD-000012,CUST-BD-01774,Riya Mondal,37,Female,Low-Engagement,Regular,Rajshahi,Bogura,2024-08-03,2024,8,August,Q3,31,Saturday,Eid-ul-Adha Season,Transportation,Ride Sharing,Startup,16,16804930.88,Freight Booking,11,4470.3,49173.3,19.0,9342.93,39830.37,15.34,6109.98,Upay,In-Store,0,In-Store Pickup,No,,8,345,1436.13,TV Advertisement,Flash Sale,Medium,4.4
TXN-BD-000013,CUST-BD-02736,Jahangir Ahmed,28,Male,Moderate-Spender,Regular,Rangpur,Kurigram,2023-04-20,2023,4,April,Q2,16,Thursday,Eid-ul-Fitr Season,Food & Beverage,Bakery,SME,49,67696578.18,Pizza,2,42.24,84.48,9.35,7.9,76.58,25.24,19.33,Cash,In-Store,0,In-Store Pickup,No,,20,357,52604.18,Referral,,High,3.8
TXN-BD-000014,CUST-BD-04550,Sabrina Talukder,32,Female,Moderate-Spender,Regular,Khulna,Chuadanga,2021-10-20,2021,10,October,Q4,42,Wednesday,Regular Season,Telecom,Device Reseller,SME,48,192286645.95,Router,3,2940.77,8822.31,8.27,729.61,8092.7,48.46,3921.72,Cash,Phone Order,6,Delayed,Yes,Changed Mind,6,326,52254.27,Influencer,Loyalty Reward,Low,3.1
TXN-BD-000015,CUST-BD-02339,Meghla Dey,35,Female,High-Value,Loyal,Rangpur,Gaibandha,2022-01-19,2022,1,January,Q1,3,Wednesday,Winter Season,Education,Vocational Training,Large Enterprise,2264,3999728717.67,Certificate Program,1,47083.24,47083.24,10.41,4901.37,42181.87,21.98,9271.58,bKash,Facebook/Social Media,12,On-Time,No,,5,270,201505.15,SMS Marketing,,Low,4.2
TXN-BD-000016,CUST-BD-03192,Bristy Nath,43,Female,Low-Engagement,Regular,Khulna,Chuadanga,2022-06-09,2022,6,June,Q2,23,Thursday,Rainy Season,Fashion & Apparel,Garments,SME,31,30979925.65,Hijab,2,15441.58,30883.16,6.8,2100.05,28783.11,37.46,10782.15,Cash,Facebook/Social Media,7,Delayed,No,,2,38,12671.71,Social Media,,High,2.8
TXN-BD-000017,CUST-BD-00378,Liton Akter,37,Male,Moderate-Spender,Reactivated,Rangpur,Gaibandha,2022-12-16,2022,12,December,Q4,50,Friday,Year-End & Winter Sale,Banking & Finance,Bank,Large Enterprise,4035,22954339155.35,Insurance Premium,1,103566.78,103566.78,2.82,2920.58,100646.2,25.39,25554.07,MasterCard,In-Store,0,In-Store Pickup,Yes,Wrong Item Delivered,6,222,75464.42,Influencer,,Medium,1.5
TXN-BD-000018,CUST-BD-04729,Sazzad Islam,54,Male,Moderate-Spender,New,Barisal,Patuakhali,2024-03-21,2024,3,March,Q1,12,Thursday,Pohela Boishakh Period,Transportation,Ride Sharing,Startup,21,12010364.39,Delivery Charge,2,902.58,1805.16,22.88,413.02,1392.14,22.26,309.89,Cash,Mobile App,9,Delayed,No,,17,278,50362.61,Social Media,Loyalty Reward,High,4.0
TXN-BD-000019,CUST-BD-00673,Sadia Akter,30,Female,Moderate-Spender,Churned-Risk,Sylhet,Habiganj,2021-11-15,2021,11,November,Q4,46,Monday,Year-End & Winter Sale,IT Services,Software Company,Large Enterprise,2255,9200150725.07,Data Entry,7,249084.68,1743592.76,2.63,45856.49,1697736.27,36.6,621371.47,Cash,Facebook/Social Media,11,Returned,Yes,Quality Not As Expected,23,222,73900.31,TV Advertisement,Seasonal Discount,Medium,1.9
TXN-BD-000020,CUST-BD-01703,Rahim Talukder,42,Male,High-Value,Loyal,Rajshahi,Bogura,2024-08-16,2024,8,August,Q3,33,Friday,Eid-ul-Adha Season,Garments & RMG,Knit Factory,SME,41,48347743.69,Jeans (Export),10,8479.25,84792.5,13.93,11811.6,72980.9,22.93,16734.52,Upay,WhatsApp Order,14,On-Time,No,,23,157,312232.63,SMS Marketing,Seasonal Discount,Medium,4.2
