Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Segment,Customer_Type,Division,District,Purchase_Frequency_Monthly,Customer_Lifetime_Value_BDT
CUST-BD-04253,Lamiya Khan,37,Female,High-Value,Regular,Sylhet,Sunamganj,24,183943.13
CUST-BD-04519,Anwar Rahman,39,Male,Low-Engagement,New,Mymensingh,Jamalpur,13,16235.94
CUST-BD-01450,Mithila Sarkar,35,Female,Moderate-Spender,Regular,Khulna,Khulna,12,47992.39
CUST-BD-03173,Kamrul Nath,19,Male,Moderate-Spender,Regular,Dhaka,Munshiganj,11,56990.43
CUST-BD-02397,Mithila Chowdhury,23,Female,High-Value,New,Barisal,Barisal,8,196986.86
CUST-BD-02228,Shahid Roy,27,Male,Moderate-Spender,Regular,Dhaka,Dhaka,16,48271.47
CUST-BD-04460,Nadia Nath,42,Female,High-Value,New,Rangpur,Dinajpur,4,387478.19
CUST-BD-04688,Sabbir Ghosh,23,Male,VIP-Platinum,Regular,Dhaka,Munshiganj,21,729396.94
CUST-BD-00470,Sabrina Ahmed,28,Female,Low-Engagement,Churned-Risk,Khulna,Bagerhat,1,16357.79
CUST-BD-04712,Popy Banik,42,Female,Moderate-Spender,Loyal,Khulna,Chuadanga,24,56621.84
CUST-BD-03689,Mou Sheikh,50,Female,Moderate-Spender,Loyal,Barisal,Patuakhali,20,36850.45
CUST-BD-01774,Riya Mondal,37,Female,Low-Engagement,Regular,Rajshahi,Bogura,8,1436.13
CUST-BD-02736,Jahangir Ahmed,28,Male,Moderate-Spender,Regular,Rangpur,Kurigram,20,52604.18
CUST-BD-04550,Sabrina Talukder,32,Female,Moderate-Spender,Regular,Khulna,Chuadanga,6,52254.27
CUST-BD-02339,Meghla Dey,35,Female,High-Value,Loyal,Rangpur,Gaibandha,5,201505.15
CUST-BD-03192,Bristy Nath,43,Female,Low-Engagement,Regular,Khulna,Chuadanga,2,12671.71
CUST-BD-00378,Liton Akter,37,Male,Moderate-Spender,Reactivated,Rangpur,Gaibandha,6,75464.42
CUST-BD-04729,Sazzad Islam,54,Male,Moderate-Spender,New,Barisal,Patuakhali,17,50362.61
CUST-BD-00673,Sadia Akter,30,Female,Moderate-Spender,Churned-Risk,Sylhet,Habiganj,23,73900.31
CUST-BD-01703,Rahim Talukder,42,Male,High-Value,Loyal,Rajshahi,Bogura,23,312232.63
CUST-BD-03675,Sabbir Das,34,Male,Moderate-Spender,New,Rajshahi,Sirajganj,2,15217.23
CUST-BD-04187,Zubayer Nath,63,Male,Moderate-Spender,Regular,Khulna,Chuadanga,20,29778.68
CUST-BD-04411,Belal Talukder,26,Male,High-Value,Loyal,Rajshahi,Bogura,6,357458.49
CUST-BD-01153,Rifat Sarkar,27,Male,Low-Engagement,New,Rangpur,Kurigram,8,3800.15
CUST-BD-03242,Mahabub Akter,69,Male,Moderate-Spender,Loyal,Khulna,Chuadanga,7,72077.29
CUST-BD-00538,Tania Rahman,30,Female,VIP-Platinum,Regular,Mymensingh,Mymensingh,13,1067546.29
CUST-BD-00363,Riya Ahmed,33,Female,Moderate-Spender,New,Rajshahi,Bogura,5,64595.59
CUST-BD-02742,Shafiq Islam,40,Male,High-Value,Regular,Rajshahi,Bogura,8,82973.56
CUST-BD-02481,Mou Ghosh,27,Female,Low-Engagement,New,Barisal,Barisal,18,1711.99
CUST-BD-02245,Shahid Ahmed,54,Male,Low-Engagement,Churned-Risk,Mymensingh,Sherpur,13,4182.11
CUST-BD-03169,Milon Ghosh,33,Male,Low-Engagement,Loyal,Rajshahi,Sirajganj,19,16980.83
CUST-BD-04558,Rupa Dey,39,Female,Moderate-Spender,Loyal,Mymensingh,Jamalpur,23,19915.29
CUST-BD-02135,Fatema Bhuiyan,30,Female,Moderate-Spender,Regular,Barisal,Pirojpur,10,28349.16
CUST-BD-00515,Rifat Hossain,28,Male,High-Value,Churned-Risk,Rangpur,Lalmonirhat,24,486159.66
CUST-BD-04883,Sadia Ahmed,24,Female,Moderate-Spender,Regular,Sylhet,Sylhet,23,23397.27
CUST-BD-00049,Sabrina Ahmed,39,Female,High-Value,Loyal,Barisal,Bhola,13,246377.25
CUST-BD-04803,Sohel Saha,18,Male,Moderate-Spender,Loyal,Chittagong,Comilla,10,10036.3
CUST-BD-00838,Milon Roy,23,Male,Moderate-Spender,Regular,Barisal,Barisal,13,47443.75
CUST-BD-00787,Kamrul Paul,45,Male,Moderate-Spender,Regular,Rajshahi,Natore,18,52939.99
CUST-BD-00866,Jamal Roy,30,Male,Moderate-Spender,Loyal,Chittagong,Comilla,23,20764.28
CUST-BD-04000,Rafi Majumder,39,Male,High-Value,New,Sylhet,Sunamganj,18,246294.78
CUST-BD-04390,Laboni Sheikh,42,Female,VIP-Platinum,Loyal,Khulna,Bagerhat,22,518304.32
CUST-BD-02566,Rifat Paul,30,Male,Low-Engagement,Regular,Sylhet,Sylhet,13,14557.07
CUST-BD-04543,Anwar Nath,18,Male,Moderate-Spender,Regular,Rangpur,Dinajpur,10,37459.8
CUST-BD-04022,Liton Banik,18,Male,Low-Engagement,Regular,Sylhet,Sylhet,20,3232.03
CUST-BD-02956,Farhan Sheikh,55,Male,Moderate-Spender,Regular,Dhaka,Narayanganj,1,31241.86
CUST-BD-00720,Imran Ahmed,34,Male,High-Value,New,Rangpur,Dinajpur,21,184491.66
CUST-BD-01192,Rahela Ghosh,18,Female,VIP-Platinum,Regular,Mymensingh,Mymensingh,5,701075.11
